CODE,CATEGORY
372890007,CODE_NALOXONE
373546002,CODE_NALOXONE
7243,CODE_NALTREXONE
781794006,CODE_BUPRENORPHINE
322498006,CODE_BUPRENORPHINE
322492007,CODE_BUPRENORPHINE
322496005,CODE_BUPRENORPHINE
322497001,CODE_BUPRENORPHINE
781814002,CODE_CODEINE
78188408,CODE_FENTANYL
424374001,CODE_FENTANYL
422583006,CODE_FENTANYL
424546005,CODE_FENTANYL
423178001,CODE_FENTANYL
423915006,CODE_FENTANYL
426740000,CODE_FENTANYL
443196002,CODE_FENTANYL
443140009,CODE_FENTANYL
443104007,CODE_FENTANYL
443105008,CODE_FENTANYL
443193005,CODE_FENTANYL
785028004,CODE_HYDROMORPHONE
785027009,CODE_HYDROMORPHONE
781934002,CODE_HYDROMORPHONE
781935001,CODE_HYDROMORPHONE
781979003,CODE_MEPERIDINE
781978006,CODE_MEPERIDINE
376782004,CODE_METHADONE
322591003,CODE_METHADONE
766493009,CODE_METHADONE
370238000,CODE_METHADONE
766494003,CODE_METHADONE
766492004,CODE_METHADONE
784709009,CODE_METHADONE
767081004,CODE_METHADONE
781982008,CODE_METHADONE
782004007,CODE_MORPHINE
782006009,CODE_MORPHINE
782007000,CODE_MORPHINE
782005008,CODE_MORPHINE
785132007,CODE_MORPHINE
780093001,CODE_OXYCODONE
424178008,CODE_OXYMORPHONE
423970009,CODE_OXYMORPHONE
769238002,CODE_BUPRENORPHINE
778570009,CODE_BUPRENORPHINE
350298003,CODE_CODEINE
778849005,CODE_CODEINE
767783007,CODE_CODEINE
778848002,CODE_CODEINE
769240007,CODE_FENTANYL
779245001,CODE_FENTANYL
784202001,CODE_FENTANYL
784203006,CODE_FENTANYL
768403005,CODE_HYDROCODONE
779483002,CODE_HYDROCODONE
768402000,CODE_HYDROCODONE
779482007,CODE_HYDROCODONE
438139007,CODE_HYDROMORPHONE
779503002,CODE_HYDROMORPHONE
768964007,CODE_LEVORPHANOL
779695008,CODE_LEVORPHANOL
772679009,CODE_MEPERIDINE
780178002,CODE_MEPERIDINE
350295000,CODE_METHADONE
779834007,CODE_METHADONE
783810002,CODE_MORPHINE
350301004,CODE_MORPHINE
773374003,CODE_MORPHINE
346583000,CODE_MORPHINE
773375002,CODE_MORPHINE
430127000,CODE_OXYCODONE
772659001,CODE_OXYCODONE
780092006,CODE_OXYCODONE
772660006,CODE_OXYMORPHONE
780099002,CODE_OXYMORPHONE
767779007,CODE_TRAMADOL
780674004,CODE_TRAMADOL
31684002,CODE_BUPRENORPHINE
774936005,CODE_BUPRENORPHINE
425741009,CODE_BUPRENORPHINE
744937001,CODE_BUPRENORPHINE
85990009,CODE_CODEINE
775354007,CODE_CODEINE
412556009,CODE_CODEINE
775360007,CODE_CODEINE
786165006,CODE_CODEINE
786750004,CODE_CODEINE
363598004,CODE_CODEINE
412356005,CODE_CODEINE
775356009,CODE_CODEINE
768587007,CODE_CODEINE
774947003,CODE_CODEINE
412279009,CODE_CODEINE
775361006,CODE_CODEINE
412286001,CODE_CODEINE
40648001,CODE_FENTANYL
775934002,CODE_FENTANYL
2032002,CODE_HYDROCODONE
776243007,CODE_HYDROCODONE
768400008,CODE_HYDROCODONE
776245000,CODE_HYDROCODONE
768404004,CODE_HYDROCODONE
774671008,CODE_HYDROCODONE
768401007,CODE_HYDROCODONE
776244001,CODE_HYDROCODONE
414428000,CODE_HYDROMORPHONE
776264006,CODE_HYDROMORPHONE
50335004,CODE_LEVORPHANOL
776524006,CODE_LEVORPHANOL
54544005,CODE_MEPERIDINE
777149005,CODE_MEPERIDINE
420348003,CODE_MEPERIDINE
777150005,CODE_MEPERIDINE
51758009,CODE_METHADONE
776719005,CODE_METHADONE
73572009,CODE_MORPHINE
773372004,CODE_MORPHINE
783809007,CODE_MORPHINE
414984009,CODE_OXYCODONE
777027001,CODE_OXYCODONE
772959003,CODE_OXYCODONE
777028006,CODE_OXYCODONE
767923000,CODE_OXYCODONE
774677007,CODE_OXYCODONE
414443003,CODE_OXYCODONE
776290009,CODE_OXYCODONE
715845001,CODE_OXYCODONE
776864003,CODE_OXYCODONE
370266008,CODE_OXYMORPHONE
777032000,CODE_OXYMORPHONE
108507005,CODE_TRAMADOL
777816004,CODE_TRAMADOL
413396001,CODE_TRAMADOL
777074005,CODE_TRAMADOL
387173000,CODE_BUPRENORPHINE
2106609,CODE_BUPRENORPHINE
387494007,CODE_CODEINE
1476002,CODE_CODEINE
261000,CODE_CODEINE
766880009,CODE_CODEINE
373492002,CODE_FENTANYL
29190006,CODE_FENTANYL
387341002,CODE_HEROIN
372671002,CODE_HYDROCODONE
3874004,CODE_HYDROCODONE
736862006,CODE_HYDROCODONE
44508008,CODE_HYDROMORPHONE
387485001,CODE_HYDROMORPHONE
387275004,CODE_LEVORPHANOL
67347006,CODE_LEVORPHANOL
387298007,CODE_MEPERIDINE
2878005,CODE_MEPERIDINE
387286002,CODE_METHADONE
23883005,CODE_METHADONE
373529000,CODE_MORPHINE
60886004,CODE_MORPHINE
426952001,CODE_MORPHINE
442424007,CODE_MORPHINE
55452001,CODE_OXYCODONE
387024006,CODE_OXYCODONE
116352007,CODE_OXYCODONE
24751001,CODE_OXYMORPHONE
69899006,CODE_OXYMORPHONE
386858008,CODE_TRAMADOL
108505002,CODE_TRAMADOL
